source,target
14847675,1355257214529892352
1342812984234680320,1355257214529892352
1398820162732793859,1355257214529892352
99674560,1355257214529892352
1398759656802115591,1355257214529892352
1278389989966073856,1355257214529892352
943199979258236928,1355257214529892352
788046893309915136,1355257214529892352
1244686007540350976,1355257214529892352
53749464,1355257214529892352
1346610095875108868,1355257214529892352
993149509365583873,1355257214529892352
1398731157135663105,1355257214529892352
1171875220451463168,1355257214529892352
1379606218830983174,1355257214529892352
1397994673780756484,1355257214529892352
1342959004243406848,1355257214529892352
1176198495000244235,1355257214529892352
1330551278049632259,1355257214529892352
717773890542395392,1355257214529892352
1344866135364300802,1355257214529892352
1177618333497212930,1355257214529892352
1398560831130963968,1355257214529892352
1156700630469238784,1355257214529892352
1399079097490358275,1355257214529892352
1119513390467174400,1355257214529892352
19284888,1355257214529892352
2297381593,1355257214529892352
1304078690180104192,1355257214529892352
1298743222865481728,1355257214529892352
1247690692362715136,1355257214529892352
1121693116782850048,1355257214529892352
1181007900283752448,1355257214529892352
1102220296302616576,1355257214529892352
2233630192,1355257214529892352
810072936493318144,1355257214529892352
1009871088820482048,1355257214529892352
226559285,1355257214529892352
724097388059578369,1355257214529892352
1072375205496942593,1355257214529892352
824070649073188865,1355257214529892352
925683142312235008,1355257214529892352
1284922866996252674,1355257214529892352
1376615987399815174,1355257214529892352
228040559,1355257214529892352
291308681,1355257214529892352
202590356,1355257214529892352
555022381,1355257214529892352
1368227387985526787,1355257214529892352
841437061,163893420
35203319,163893420
19284888,163893420
555031989,163893420
705539763349164032,163893420
104561114,1355257214529892352
890497537806749696,1264433760
266268682,1264433760
130344472,1264433760
256487198,1264433760
1373380323959058434,1264433760
1271692434150432768,1264433760
1258421686464102401,1264433760
1097258235680227329,1264433760
1042121486,1264433760
298704683,1264433760
3231448467,1264433760
547337124,1264433760
18765967,1264433760
777462371149156353,1264433760
2728620722,1264433760
809243997625610240,1264433760
1343103655864459264,1264433760
61608747,1264433760
1009871088820482048,1264433760
822280007502295041,1264433760
1041367248139702273,1264433760
2727683563,1264433760
1158330035503337473,1264433760
1386665419977723906,1264433760
724097388059578369,1264433760
23522633,1264433760
564806527,1264433760
1358415860826845187,1264433760
309007739,1264433760
1373664574810025992,1264433760
1366719533692694529,1264433760
1312623905908166658,1264433760
156568938,1264433760
1020215326875766784,1264433760
2514505128,1264433760
1031495988857499648,1264433760
443557785,1264433760
1316019709,1264433760
22824243,1264433760
980785548720709637,1264433760
802246546607644672,1264433760
277551458,1264433760
4374719908,1264433760
1053697748321501184,1264433760
534563976,1264433760
884022229,1264433760
965302152800407553,1264433760
1040957608109195264,1264433760
784853957046919168,1264433760
1292235489202728960,1264433760
235684766,1264433760
12960572,1264433760
4820804277,1264433760
899230542780022784,1264433760
1021322525287026688,1264433760
13584132,1264433760
1042121486,774550615204790272
1131948239979208704,774550615204790272
10038722,774550615204790272
787744952503504896,774550615204790272
737654066323558401,774550615204790272
884022229,774550615204790272
965302152800407553,774550615204790272
855634050,774550615204790272
468446058,774550615204790272
784853957046919168,774550615204790272
108286674,1155470031225884675
1384886033737785344,1264433760
2513922445,1264433760
2846432327,1264433760
738752276836306944,1264433760
1097271178287288320,1264433760
890844439442325504,1264433760
1281840382419099648,1264433760
48971936,1264433760
1546164530,1264433760
14976542,1264433760
1335528339768012800,1264433760
43156471,1264433760
111221301,1264433760
1229424723416797184,1264433760
749268408,1264433760
163488122,1264433760
1351373322081230848,1264433760
722592726,1264433760
1268530145813565442,1264433760
3295402276,1264433760
613337428,1264433760
68433676,1264433760
1092753985679835136,1264433760
132574633,1264433760
3322167457,774550615204790272
1009871088820482048,774550615204790272
606449564,774550615204790272
1065635635459960832,774550615204790272
822280007502295041,774550615204790272
724097388059578369,774550615204790272
80253571,774550615204790272
564806527,774550615204790272
893046370189418496,774550615204790272
1253382949812174849,774550615204790272
608256633,774550615204790272
156568938,774550615204790272
446867959,774550615204790272
1108597836755755009,774550615204790272
1283945118,774550615204790272
404315504,774550615204790272
1072375205496942593,774550615204790272
4241031461,774550615204790272
1097271178287288320,774550615204790272
1318985240,774550615204790272
141272708,774550615204790272
1278372997271826433,774550615204790272
1333198376100388865,774550615204790272
1160369750339399680,774550615204790272
1270615348115582976,774550615204790272
879181495361044480,774550615204790272
1275841444310286339,774550615204790272
739863719749033985,774550615204790272
953158853088219136,774550615204790272
944819996970008576,774550615204790272
3295402276,774550615204790272
398322770,774550615204790272
17996485,774550615204790272
1871786930,774550615204790272
140618811,774550615204790272
797863519953764353,774550615204790272
38306887,1155470031225884675
1084825825449521152,1155470031225884675
1042121486,1155470031225884675
1131948239979208704,1155470031225884675
3231448467,1155470031225884675
547337124,1155470031225884675
777462371149156353,1155470031225884675
2728620722,1155470031225884675
252316300,1155470031225884675
980785548720709637,1155470031225884675
802246546607644672,1155470031225884675
1025638818068590592,1155470031225884675
1067368422491729920,1155470031225884675
215309395,1155470031225884675
1340672663090544641,1155470031225884675
855634050,1155470031225884675
1040957608109195264,1155470031225884675
890497537806749696,1155470031225884675
784853957046919168,1155470031225884675
1292235489202728960,1155470031225884675
832172817978376196,1155470031225884675
899230542780022784,1155470031225884675
3259000821,1155470031225884675
1320676594780934144,1155470031225884675
49427323,1155470031225884675
202590356,1262226849540780032
99674560,1262226849540780032
4338452835,1262226849540780032
794815,1262226849540780032
3131243261,1262226849540780032
2297381593,1262226849540780032
1303027762777780226,1155470031225884675
1009871088820482048,1155470031225884675
606449564,1155470031225884675
822280007502295041,1155470031225884675
226559285,1155470031225884675
1041367248139702273,1155470031225884675
27621566,1155470031225884675
1386665419977723906,1155470031225884675
80253571,1155470031225884675
1358415860826845187,1155470031225884675
309007739,1155470031225884675
156568938,1155470031225884675
785099695895015424,1155470031225884675
443557785,1155470031225884675
1079458941606772738,1155470031225884675
22824243,1155470031225884675
2509718979,1155470031225884675
738752276836306944,1155470031225884675
1281840382419099648,1155470031225884675
1546164530,1155470031225884675
14976542,1155470031225884675
1281969232851251201,1155470031225884675
972913385577897985,1155470031225884675
1011050547749638144,1155470031225884675
1192125652889145346,1155470031225884675
806175180682838016,1155470031225884675
1278372997271826433,1155470031225884675
821013140322287616,1155470031225884675
163488122,1155470031225884675
210220381,1155470031225884675
340252337,1155470031225884675
