source,target
1399650247928958976,1399650185886769161
1399650267096928256,1399650185886769161
1399650208473096194,1399650185886769161
1399647537548648455,1399646726697459715
1399649296287404035,1399646726697459715
1399647190910373889,1399646726697459715
1399647372242718722,1399646726697459715
1399647174699405312,1399646726697459715
1399647514953977856,1399646726697459715
1399646987427983366,1399645225061076992
1399428671895703555,1397964369275744261
1399428649858715648,1397964369275744261
1399429134141505539,1397964369275744261
1399430744678748172,1397964369275744261
1399650013396062208,1397964369275744261
1399644583974391808,1399644386061959170
1399644583986876418,1399644386061959170
1399644583911428098,1399644386061959170
1399644408291725312,1399644386061959170
1399646922038710274,1399644386061959170
1399646922043006978,1399644386061959170
1399646820884783113,1399644386061959170
1399646936634957825,1399644386061959170
1399646952879427584,1399644386061959170
1399646236676874241,1399644386061959170
1399645191745667074,1399644386061959170
1399646922122596352,1399644386061959170
1399646922244333568,1399644386061959170
1399646922126856195,1399644386061959170
1399649877106348032,1399644386061959170
1399646922122612742,1399644386061959170
1399646922261024770,1399644386061959170
1399646859434631170,1399644386061959170
1399646789955903490,1399644386061959170
1399645062892593154,1399644386061959170
1399644584150458369,1399644386061959170
1399644416999108609,1399644386061959170
1399644584133660674,1399644386061959170
1399644584083443717,1399644386061959170
1399644463874547717,1399644386061959170
1399644583877824513,1399644386061959170
1399644431490465793,1399644386061959170
1399644427132473345,1399644386061959170
1399644581931601924,1399644386061959170
1399644454890397696,1399644386061959170
1399301109328584705,1399290146495860739
1399299061040271361,1399290146495860739
1399295820118233089,1399290146495860739
1399308010900623363,1399290146495860739
1399308101447208963,1399290146495860739
1399323868024635393,1399290146495860739
1399336075798142977,1399290146495860739
1399340695488454660,1399290146495860739
1399338715529367557,1399290146495860739
1399338323441815557,1399290146495860739
1399339367014010890,1399290146495860739
1399343090981277696,1399290146495860739
1399343103857729537,1399290146495860739
1399349157127667713,1399290146495860739
1399352424587051008,1399290146495860739
1399355611045847041,1399290146495860739
1399353101136502785,1399290146495860739
1399357336116875267,1399290146495860739
1399357735490134019,1399290146495860739
1399353626401910784,1399290146495860739
1399359696188981249,1399290146495860739
1399646899137810433,1399290146495860739
1399646979550945280,1399290146495860739
1399636004596768768,1399290146495860739
1399630867803172866,1399290146495860739
1399631519493337088,1399290146495860739
1399626594646335489,1399290146495860739
1399614149647294467,1399290146495860739
1399615019319500807,1399290146495860739
1399604880805928965,1399290146495860739
1399596441136422913,1399290146495860739
1399563255601717251,1399290146495860739
1399557334926508033,1399290146495860739
1399561623048626176,1399290146495860739
1399561004397338630,1399290146495860739
1399552686870220802,1399290146495860739
1399540734542426114,1399290146495860739
1399532000302620672,1399290146495860739
1399490056331530241,1399290146495860739
1399493220715819008,1399290146495860739
1399490025650221057,1399290146495860739
1399483207234592776,1399290146495860739
1399480671505166336,1399290146495860739
1399471449308491776,1399290146495860739
1399462556796788739,1399290146495860739
1399464068830969856,1399290146495860739
1399455250952642560,1399290146495860739
1399460161211670528,1399290146495860739
1399448375439790081,1399290146495860739
1399447566199279621,1399290146495860739
1399446594144010240,1399290146495860739
1399445685792133120,1399290146495860739
1399444449932066822,1399290146495860739
1399444324845342724,1399290146495860739
1399444115666915338,1399290146495860739
1399444579229839366,1399290146495860739
1399404602626244609,1399290146495860739
1399389839556968454,1399290146495860739
1399388545681301508,1399290146495860739
1399382092870426625,1399290146495860739
1399368612968808452,1399290146495860739
1399360303603740672,1399290146495860739
1399362801332850692,1399290146495860739
1399363621126279175,1399290146495860739
1399360445203550213,1399290146495860739
1399646897732730882,1399644407238955009
1399649389589770241,1399644407238955009
1399495834652262400,1399494030837248001
1399494339332644874,1399494030837248001
1399510773739651074,1399494030837248001
1399649286728654849,1399494030837248001
1399649140750094337,1399494030837248001
1399565594924519427,1399561338234576898
1399571336536760322,1399561338234576898
1399572378510835713,1399561338234576898
1399585266562646016,1399561338234576898
1399648368876523523,1399561338234576898
1399648317181620228,1399644388263968768
1399645635918266369,1399644388263968768
1399648303034347522,1399337692102594561
1399631831356481537,1399631304321159171
1399631327574507520,1399631304321159171
1399631327087976448,1399631304321159171
1399631816143818754,1399631304321159171
1399635124564762625,1399631304321159171
1399632319602958336,1399631304321159171
1399648211833438209,1399631304321159171
1399634513169428480,1398935715757559810
1399634490620887045,1398935715757559810
1399643402736648193,1398935715757559810
1399643424777592837,1398935715757559810
1399647891120078851,1398935715757559810
1399608087888203776,1399606691268866050
1399608158927085568,1399606691268866050
1399619653035429888,1399606691268866050
1399625942339780614,1399606691268866050
1399635983792889858,1399606691268866050
1399643117964468224,1399606691268866050
1399647667131764740,1399606691268866050
1399528099130212357,1399525871678103552
1399527840681500675,1399525871678103552
1399526986402480135,1399525871678103552
1399528584063057926,1399525871678103552
1399529065552490496,1399525871678103552
1399530116783480834,1399525871678103552
1399532704723517443,1399525871678103552
1399535504958263299,1399525871678103552
1399536678860099585,1399525871678103552
1399542596586774531,1399525871678103552
1399539471910010884,1399525871678103552
1399547110907944965,1399525871678103552
1399552680968720384,1399525871678103552
1399561354382479360,1399525871678103552
1399570804636016640,1399525871678103552
1399566191346126852,1399525871678103552
1399573963186085891,1399525871678103552
1399572118568902663,1399525871678103552
1399575899041787904,1399525871678103552
1399572113086771202,1399525871678103552
1399572002244108292,1399525871678103552
1399574499905835010,1399525871678103552
1399584603816464385,1399525871678103552
1399584705704566784,1399525871678103552
1399588409866326016,1399525871678103552
1399593048976334849,1399525871678103552
1399595096287416320,1399525871678103552
1399604741571858432,1399525871678103552
1399600872586416128,1399525871678103552
1399609060555575296,1399525871678103552
1399612397208416258,1399525871678103552
1399606596578201601,1399525871678103552
1399609582348128258,1399525871678103552
1399621546805768193,1399525871678103552
1399622330691719172,1399525871678103552
1399622098918772741,1399525871678103552
1399619966211559426,1399525871678103552
1399631217230819335,1399525871678103552
1399633275954597889,1399525871678103552
1399635165899599877,1399525871678103552
1399647547002609668,1399525871678103552
1399231235457757185,1377889369168752642
1399333910748831745,1377889369168752642
1399647530196086784,1377889369168752642
1399642035364282371,1399641592496103425
1399641816346017793,1399641592496103425
1399642029676765185,1399641592496103425
1399644756528058370,1399641592496103425
1399647316609585152,1399641592496103425
1399646527891685376,1399641592496103425
1399646665666088960,1399641592496103425
1399646654903554049,1399641592496103425
1399576927933898755,1399576442971705344
1399582175670857731,1399576442971705344
1399585533831966721,1399576442971705344
1399585922446888960,1399576442971705344
1399596410824138754,1399576442971705344
1399599779349364736,1399576442971705344
1399613305317072900,1399576442971705344
1399628357025689604,1399576442971705344
1399647238167564290,1399576442971705344
1399628590161989632,1399628574139817984
1399630323969843202,1399628574139817984
1399644369083195396,1399628574139817984
1399647230114635777,1399628574139817984
1399646953349304323,1399644440982134785
1399646915080470531,1399644434585862145
1399644185049899008,1399643749710450688
1399646829525061633,1399643749710450688
1399642040749658113,1399641853062942723
1399641996810145796,1399641853062942723
1399642019371364352,1399641853062942723
1399642095602835457,1399641853062942723
1399642121750077442,1399641853062942723
1399642541939695619,1399641853062942723
1399644794696220675,1399641853062942723
1399646276308848640,1399641853062942723
1399642113101402113,1399641990434902017
1399642142381948928,1399641990434902017
1399642542757580800,1399641990434902017
1399642116985442306,1399641990434902017
1399642287345442816,1399641990434902017
1399642731627040770,1399641990434902017
1399646024541556738,1399641990434902017
1399644824509222913,1399641990434902017
1399642466916122626,1399642415028486144
1399642749553491968,1399642415028486144
1399642591713497088,1399642415028486144
1399642530988408838,1399642415028486144
1399644845921214464,1399642415028486144
1399645772841357314,1399642415028486144
1399294906422661120,1398721517547044869
1399355521879076872,1398721517547044869
1399617711143931904,1398721517547044869
1399645564061507584,1398721517547044869
1399266344961466370,1399262012157292546
1399617749274423297,1399262012157292546
1399645540535648256,1399262012157292546
1399577921598083079,1399577512355631107
1399577801162776576,1399577512355631107
1399577908881022981,1399577512355631107
1399578894819368962,1399577512355631107
1399577921396695040,1399577512355631107
1399584537827549185,1399577512355631107
1399639189042442249,1399577512355631107
1399638457996222465,1399577512355631107
1399645470188843008,1399577512355631107
1399645430019878914,1399577512355631107
1399635332182642688,1399635192399138816
1399635768268578821,1399635192399138816
1399635348762812417,1399635192399138816
1399635310007533572,1399635192399138816
1399635215325204480,1399635192399138816
1399635358044860416,1399635192399138816
1399635615935827970,1399635192399138816
1399641331555831810,1399635192399138816
1399636473738006533,1399635192399138816
1399645048636063744,1399635192399138816
1399644843853365248,1399635192399138816
1399645425376845829,1399635192399138816
1399644821715836929,1399635192399138816
1399610580302958594,1352967193533800449
1399610553279172608,1352967193533800449
1399610482236051456,1352967193533800449
1399610575429111808,1352967193533800449
1399632264766521348,1352967193533800449
1399633076674834433,1352967193533800449
1399633007280103429,1352967193533800449
1399632288053293058,1352967193533800449
1399632800140177408,1352967193533800449
1399632287420059648,1352967193533800449
1399632967488753665,1352967193533800449
1399632989764702210,1352967193533800449
1399643617246027776,1352967193533800449
1399643672216539136,1352967193533800449
1399643828643110912,1352967193533800449
1399643828689293315,1352967193533800449
1399643603329294345,1352967193533800449
1399643781952069638,1352967193533800449
1399645160082903042,1352967193533800449
1399645160162709509,1352967193533800449
1399645345433280514,1352967193533800449
1399631794723561473,1399631016285855747
1399480292230844416,1399480177453793281
1399480337667792897,1399480177453793281
1399483820366307328,1399480177453793281
1399490977782386689,1399480177453793281
1399490987752189954,1399480177453793281
1399491690973458432,1399480177453793281
1399503117410918406,1399480177453793281
1399501357946601482,1399480177453793281
1399507260758368256,1399480177453793281
1399504972786528262,1399480177453793281
1399505868542992385,1399480177453793281
1399504939081101312,1399480177453793281
1399526244673220611,1399480177453793281
1399580139688652802,1399480177453793281
1399645150700138496,1399480177453793281
1399644773162573825,1392025002220957698
1399644835276066816,1392025002220957698
1399644795522400256,1392025002220957698
1399645148204707840,1392025002220957698
1399645048602497024,1392025002220957698
1399644835305361409,1392025002220957698
1399624031532355586,1398260795406880769
1399643355303366656,1398260795406880769
1399643754793947138,1398260795406880769
1399643745411342338,1398260795406880769
1399643325716647936,1398260795406880769
1399643738624991234,1398260795406880769
1399643348139454465,1398260795406880769
1399643270288924672,1398260795406880769
1399645139035885569,1398260795406880769
1399279496188948480,1399276706842697729
1399279160338571264,1399276706842697729
1399335394441838594,1399276706842697729
1399355148334297089,1399276706842697729
1399416873633017858,1399276706842697729
1399423747367526409,1399276706842697729
1399436496961220609,1399276706842697729
1399444201700397057,1399276706842697729
1399447784260997120,1399276706842697729
1399447614635053069,1399276706842697729
1399453051824447491,1399276706842697729
1399452965069488129,1399276706842697729
1399458399146938369,1399276706842697729
1399473758520459267,1399276706842697729
1399487001594843149,1399276706842697729
1399623394971291649,1399276706842697729
1399644843530457093,1399276706842697729
1399644790606737409,1371801931157401603
1399644788593463297,1377889371152642049
1399190512926666754,1375355240078311425
1399189524937326592,1375355240078311425
1399190807752724482,1375355240078311425
1399189885135753219,1375355240078311425
1399189547225915393,1375355240078311425
1399203335803076610,1375355240078311425
1399644783765856262,1375355240078311425
1399637108860407814,1399621855158231040
1399643741267312640,1399643365512261632
1399644781572153345,1370294341290373122
1399644779697352705,1371728721271488512
1399644777851801602,1374431587777929224
1399644775918227456,1392025010202718209
1399644766367846401,1375051128467951620
1399644738614087686,1387721679925923842
1399644760734797827,1387721679925923842
1399644757467533315,1378284467534639104
1399644755513032704,1371494151854899200
1399635479797153794,1399633950021148676
1399643268938440706,1399633950021148676
1399644753411649540,1399633950021148676
1399258857910812672,1370868098341994497
1399337112609067008,1370868098341994497
1399644748772790272,1370868098341994497
1399644746432319489,1371459558120505348
1399644744435879937,1384170802916904962
1399180850659475456,1373555876888477696
1399644742451875840,1373555876888477696
1399644736756015104,1392021159252615169
1399201954442661894,1381636511624466432
1399333826283945984,1381636511624466432
1399644732691779584,1381636511624466432
1399161022834003969,1374721027679252480
1399333760118710275,1374721027679252480
1399644730762444806,1374721027679252480
1399609921151422466,1399609707317411840
1399625517146402820,1399609707317411840
1399644468538662913,1399609707317411840
1399629871136051202,1399629848553955331
1399629870301339649,1399629848553955331
1399629870762586112,1399629848553955331
1399629892979859456,1399629848553955331
1399629893537722375,1399629848553955331
1399644112362475524,1399629848553955331
1399644221670412290,1399629848553955331
1399644204763127810,1399629848553955331
1399635224800210946,1399635202130034690
1399636232179748872,1399635202130034690
1399636070078291968,1399635202130034690
1399643828580147203,1399635202130034690
1399643828622135297,1399635202130034690
1399643325834141696,1399635202130034690
1399643781524344836,1399635202130034690
1399643319060271111,1399635202130034690
1399305889463554048,1398264770634080259
1399305855682633728,1398264770634080259
1399306052886306818,1398264770634080259
1399310925828702209,1398264770634080259
1399310948209471488,1398264770634080259
1399635767652237313,1398264770634080259
1399643325045612546,1398264770634080259
1399643589270028289,1398264770634080259
1399643213359636481,1398264770634080259
1399643479974744064,1398264770634080259
1399643315562242050,1398264770634080259
1399643325058142209,1398264770634080259
1399643397187641346,1398260784392769539
1399635958719565824,1398021281233129474
1399635154369458176,1398021281233129474
1399635130793267200,1398021281233129474
1399635316063997953,1398021281233129474
1399642403921874946,1398021281233129474
1399189526883573761,1369934465280139264
1399190555851202561,1369934465280139264
1399189549268488194,1369934465280139264
1399189884020142082,1369934465280139264
1399191689466613760,1369934465280139264
1399642209004236801,1369934465280139264
1399589291915948038,1399588407739879424
1399588926294220803,1399588407739879424
1399603443518541825,1399588407739879424
1399608895987986434,1399588407739879424
1399609181964021761,1399588407739879424
1399621633816543232,1399588407739879424
1399620419146207232,1399588407739879424
1399641252761640961,1399588407739879424
1399642192738717698,1399588407739879424
1399641944519704577,1399641922419974146
1399639472929656838,1399639467518988293
1399639511802462208,1399639467518988293
1399639489891508226,1399639467518988293
1399639489543290880,1399639467518988293
1399640430640312320,1399636846322270208
1399635308770177024,1399635195763040256
1399635477116882944,1399635195763040256
1399635205493866498,1399635195763040256
1399635218320003072,1399635195763040256
1399641364468490241,1399635195763040256
1399641807001169922,1399635195763040256
1399636225410011137,1399635195763040256
1399636129184419842,1399635195763040256
1399635221331517440,1399635198480982018
1399635307566407681,1399635198480982018
1399638775190503425,1399635198480982018
1399636214085476355,1399635198480982018
1399641368339881985,1399635198480982018
1399324657677897728,1396745019415990278
1399324635125137408,1396745019415990278
1399324657472393217,1396745019415990278
1399636241738575877,1396745019415990278
1399636302778277890,1396745019415990278
1399641355878551556,1396745019415990278
1399636205671645188,1396745019415990278
1399631755926253574,1399630291300499457
1399641351847874561,1399630291300499457
1399636335409827849,1399630291300499457
1399633860883881987,1399633838289031177
1399633848946810881,1399633838289031177
1399633860594442240,1399633838289031177
1399634084440199170,1399633838289031177
1399633871101104129,1399633838289031177
1399634063288377344,1399633838289031177
1399636049496887298,1399633838289031177
1399633846673477632,1399633838289031177
1399633861513035776,1399633838289031177
1399634089691525123,1399633838289031177
1399641341454426113,1399633838289031177
1399636393694052352,1399633838289031177
1399636061505138688,1399633838289031177
1399635089257123846,1399634733235990535
1399641315046998016,1399634733235990535
1399636101371863040,1399634733235990535
1399636051904241668,1399634733235990535
1399636705859276804,1399634733235990535
1399622236428980226,1399622213758861312
1399622236332597248,1399622213758861312
1399622256481951747,1399622213758861312
1399622837095313412,1399622213758861312
1399624111211622403,1399622213758861312
1399622703468924929,1399622213758861312
1399626109759729667,1399622213758861312
1399623921310212096,1399622213758861312
1399623987920048134,1399622213758861312
1399624273959002116,1399622213758861312
1399626132216033281,1399622213758861312
1399624088784605185,1399622213758861312
1399622633591918592,1399622213758861312
1399622794426585091,1399622213758861312
1399622779725651973,1399622213758861312
1399622793411665920,1399622213758861312
1399624130652160006,1399622213758861312
1399627150093869056,1399622213758861312
1399630577083551745,1399622213758861312
1399640358322159616,1399622213758861312
1399044442003152897,1398418531482365960
1399113752591491073,1398418531482365960
